Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.70412,0.36664,0.24962,0.29702,0.65633,0.3036,0.14778,0.19879,0.66035,0.36987,0.12051,0.18179,0.56462,0.21519,0.073768,0.10987,0.56625,0.15276,0.31255,0.20522
0.7907,0.49082,0.25942,0.33943,0.71765,0.4044,0.10876,0.17141,0.72501,0.4453,0.12227,0.19186,0.59564,0.24393,0.059633,0.095838,0.63206,0.2688,0.22968,0.2477
0.94493,0.82733,0.27251,0.40998,0.8957,0.75791,0.12068,0.20821,0.89301,0.75571,0.12417,0.2133,0.7959,0.57098,0.033853,0.063917,0.91089,0.72944,0.20305,0.31767
0.93935,0.80309,0.26888,0.40288,0.8809,0.72686,0.11868,0.20404,0.8865,0.7554,0.12749,0.21817,0.78481,0.55991,0.034708,0.065365,0.88875,0.68998,0.19814,0.30787
0.94506,0.82292,0.27204,0.40891,0.89047,0.74848,0.11979,0.20653,0.89777,0.77751,0.12839,0.22039,0.80794,0.59448,0.035434,0.066882,0.90023,0.70697,0.1976,0.30887
0.94167,0.80823,0.26908,0.40374,0.88334,0.73394,0.11896,0.20474,0.89316,0.77264,0.12937,0.22164,0.7968,0.58264,0.035407,0.066757,0.89205,0.69721,0.1981,0.30854
0.94533,0.81925,0.27136,0.40768,0.88843,0.74553,0.11995,0.20666,0.8976,0.78015,0.12953,0.22218,0.80978,0.59701,0.036126,0.068129,0.89716,0.70326,0.1975,0.30839
0.94156,0.80823,0.26908,0.40374,0.88321,0.73374,0.11896,0.20472,0.89302,0.77264,0.12939,0.22167,0.7965,0.58225,0.035386,0.066718,0.89187,0.69682,0.19802,0.3084
0.94496,0.81999,0.27153,0.40797,0.88954,0.7471,0.1198,0.2065,0.89747,0.77761,0.12871,0.22086,0.80839,0.59448,0.035603,0.067182,0.89902,0.70424,0.19734,0.30829
0.94291,0.81558,0.27053,0.4063,0.88742,0.74042,0.11926,0.20542,0.89358,0.76926,0.12806,0.21957,0.79934,0.58497,0.035194,0.066393,0.89686,0.7017,0.19745,0.30818
0.94472,0.81925,0.27136,0.40768,0.88948,0.74769,0.11997,0.20677,0.89806,0.77857,0.12899,0.22131,0.80934,0.59973,0.035891,0.067729,0.8989,0.70522,0.19758,0.30868
0.94447,0.82586,0.27222,0.40947,0.89483,0.7583,0.1206,0.20811,0.89628,0.76777,0.12567,0.21599,0.79879,0.57856,0.034101,0.064405,0.9083,0.72182,0.20039,0.31369
0.94534,0.81925,0.27136,0.40768,0.88821,0.74553,0.11998,0.2067,0.89753,0.77994,0.12956,0.22221,0.80974,0.59759,0.036172,0.068215,0.89689,0.70307,0.19745,0.30832
0.94545,0.82292,0.27165,0.40846,0.89241,0.75103,0.11991,0.20681,0.89795,0.77656,0.12794,0.21968,0.80897,0.59681,0.035431,0.06689,0.90206,0.71069,0.19806,0.30979
0.94642,0.8288,0.27299,0.4107,0.8947,0.75535,0.12017,0.20735,0.8979,0.77391,0.12683,0.21794,0.80496,0.5939,0.034922,0.065966,0.90383,0.71576,0.19883,0.31121
0.94713,0.83248,0.27347,0.4117,0.89745,0.76164,0.12065,0.2083,0.89951,0.77592,0.1264,0.21739,0.81544,0.60905,0.035632,0.067326,0.90843,0.72397,0.20038,0.31388
0.94291,0.81631,0.27025,0.40607,0.89308,0.7526,0.11989,0.20683,0.89498,0.76333,0.12511,0.21499,0.79731,0.57351,0.033826,0.063885,0.90559,0.71616,0.19915,0.31164
0.94472,0.81999,0.27133,0.40775,0.89106,0.74966,0.11998,0.20685,0.89785,0.77719,0.12844,0.22044,0.80834,0.59759,0.035618,0.067229,0.90084,0.70834,0.19804,0.30954
0.94175,0.81043,0.26968,0.4047,0.88508,0.73924,0.11965,0.20597,0.89206,0.76746,0.12843,0.22004,0.79586,0.57662,0.035158,0.066275,0.89402,0.69838,0.19829,0.30888
0.94556,0.8288,0.27273,0.41041,0.8961,0.76263,0.12121,0.20917,0.89646,0.76693,0.12552,0.21573,0.79816,0.57312,0.033832,0.063892,0.91031,0.72827,0.20216,0.31647
0.94461,0.82145,0.27175,0.4084,0.89001,0.74573,0.11941,0.20586,0.89761,0.77782,0.12857,0.22066,0.80549,0.59274,0.0353,0.066632,0.90024,0.70658,0.1977,0.30896
0.94549,0.82439,0.2716,0.40859,0.8946,0.75516,0.12012,0.20726,0.89524,0.76502,0.12534,0.2154,0.79811,0.5737,0.033785,0.063812,0.90544,0.71616,0.19922,0.31172
0.94499,0.8266,0.27266,0.41006,0.89449,0.75594,0.12043,0.20776,0.89304,0.75836,0.12453,0.21393,0.79348,0.56632,0.033447,0.063163,0.9064,0.7187,0.20004,0.31297
0.94471,0.81925,0.27136,0.40768,0.88999,0.74671,0.11963,0.20622,0.89762,0.77677,0.12849,0.2205,0.80761,0.5939,0.035379,0.06678,0.89963,0.70717,0.19772,0.30903
0.93263,0.79868,0.26833,0.4017,0.88123,0.72352,0.11912,0.20457,0.86713,0.6862,0.11916,0.20307,0.75787,0.5001,0.031831,0.059852,0.89216,0.69975,0.20258,0.3142
0.93663,0.80015,0.26744,0.40088,0.88447,0.73177,0.11757,0.20258,0.88361,0.73297,0.12159,0.20857,0.78112,0.54379,0.032307,0.060991,0.89266,0.68939,0.19321,0.30183
0.9461,0.82733,0.27238,0.40983,0.89446,0.75712,0.12059,0.20804,0.89964,0.77909,0.12794,0.21979,0.80924,0.59876,0.035306,0.06668,0.90574,0.7187,0.19982,0.31269
0.94539,0.82366,0.27209,0.40905,0.89213,0.75064,0.11989,0.20676,0.89731,0.77338,0.12753,0.21895,0.80511,0.59526,0.0352,0.06647,0.90184,0.71264,0.19855,0.31057
0.94645,0.82954,0.27304,0.41084,0.89561,0.75752,0.12047,0.20788,0.89917,0.77793,0.12763,0.21929,0.80646,0.59196,0.034869,0.065859,0.90876,0.72358,0.20102,0.31463
0.94747,0.83174,0.27403,0.41224,0.89108,0.75103,0.12017,0.20719,0.8983,0.77994,0.12885,0.22117,0.80968,0.59468,0.03541,0.06684,0.89948,0.70756,0.19715,0.30837
0.94702,0.83248,0.2738,0.41207,0.89539,0.75653,0.1203,0.20759,0.89829,0.77592,0.12714,0.21848,0.80586,0.59623,0.03505,0.066207,0.90516,0.7185,0.19945,0.31222
0.94344,0.81117,0.26947,0.40454,0.8866,0.7416,0.11953,0.20588,0.89591,0.77592,0.12919,0.22149,0.80595,0.59177,0.035757,0.067438,0.89494,0.70131,0.19755,0.30826
0.94657,0.8266,0.27227,0.40961,0.89504,0.75693,0.12044,0.20782,0.89986,0.78068,0.12791,0.21981,0.81325,0.60478,0.035707,0.067432,0.90556,0.71479,0.19874,0.31101
0.94668,0.82954,0.2729,0.41069,0.89506,0.75653,0.12034,0.20764,0.89852,0.77708,0.12738,0.21887,0.80489,0.5906,0.034748,0.065634,0.9063,0.71967,0.19989,0.31288
0.94508,0.81999,0.27127,0.40767,0.8906,0.75103,0.12033,0.20742,0.89781,0.77814,0.12888,0.22113,0.80998,0.60031,0.035907,0.067761,0.89964,0.70776,0.19793,0.30935
0.94364,0.81925,0.27155,0.4079,0.88999,0.74298,0.11921,0.20545,0.89543,0.77127,0.12776,0.21921,0.80398,0.59099,0.035285,0.066594,0.90031,0.70697,0.19802,0.30938
