Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.55863,0.16097,0.45349,0.2376,0.70681,0.23246,0.1465,0.17973,0.75189,0.44171,0.16873,0.24419,0.56257,0.2315,0.074005,0.11216,0.59995,0.2102,0.32815,0.25625
0.93155,0.78597,0.33526,0.47003,0.89137,0.74612,0.11956,0.20609,0.88569,0.74185,0.123,0.21102,0.78968,0.56594,0.033834,0.06385,0.90626,0.71987,0.20179,0.31521
0.70099,0.27594,0.4243,0.33441,0.79232,0.54077,0.16382,0.25146,0.83227,0.59691,0.13968,0.22639,0.66877,0.34298,0.065241,0.10963,0.7259,0.34616,0.26832,0.30231
0.69109,0.26828,0.42444,0.32876,0.79738,0.55001,0.15592,0.24296,0.83886,0.63129,0.14136,0.231,0.66925,0.34201,0.068177,0.11369,0.7248,0.34538,0.27162,0.30409
0.70525,0.273,0.40052,0.32468,0.79425,0.53174,0.14457,0.22733,0.83824,0.66854,0.13618,0.22626,0.71681,0.36395,0.051561,0.090326,0.80474,0.48896,0.20679,0.29066
0.65204,0.21108,0.4158,0.28002,0.78722,0.54215,0.17487,0.26445,0.81601,0.4981,0.13788,0.21597,0.61911,0.26627,0.070146,0.11104,0.66829,0.27623,0.31318,0.29354
0.69108,0.31014,0.36912,0.33707,0.81637,0.58695,0.11824,0.19682,0.83186,0.64579,0.13975,0.22978,0.63694,0.26316,0.066857,0.10663,0.69521,0.29264,0.28539,0.28897
0.73367,0.33078,0.37128,0.34986,0.7978,0.54765,0.11588,0.19129,0.83044,0.6424,0.13797,0.22716,0.69405,0.33909,0.055138,0.094853,0.81512,0.57882,0.1903,0.28643
0.54167,0.10024,0.45213,0.16409,0.63599,0.24897,0.13711,0.17683,0.66368,0.27973,0.11539,0.16339,0.58272,0.23053,0.076443,0.11481,0.61197,0.14905,0.32099,0.20358
0.77254,0.37382,0.36521,0.36946,0.81843,0.62507,0.11679,0.19681,0.85487,0.6989,0.13909,0.23201,0.7294,0.369,0.047657,0.084413,0.81217,0.54659,0.20701,0.3003
0.68668,0.30071,0.37037,0.33192,0.81464,0.584,0.11813,0.19651,0.83129,0.64473,0.13993,0.22995,0.63631,0.26529,0.067287,0.10735,0.68951,0.28541,0.29162,0.28848
0.90512,0.74057,0.32649,0.45318,0.87449,0.72097,0.1196,0.20517,0.88955,0.76418,0.12986,0.222,0.7979,0.57137,0.036645,0.068873,0.88406,0.69174,0.19758,0.30737
0.72701,0.34552,0.37444,0.3594,0.82668,0.62134,0.12017,0.20139,0.85023,0.6935,0.14256,0.2365,0.6574,0.29112,0.065564,0.10703,0.74464,0.35241,0.27042,0.30602
0.90727,0.74646,0.33029,0.45795,0.87986,0.72608,0.12017,0.20621,0.89317,0.77306,0.13071,0.22362,0.8039,0.58749,0.037605,0.070685,0.89262,0.69701,0.19989,0.31068
0.83182,0.56663,0.35952,0.43992,0.84422,0.68068,0.12255,0.2077,0.86463,0.7226,0.14087,0.23578,0.74757,0.45252,0.043572,0.07949,0.8329,0.6302,0.19336,0.29592
0.69108,0.31014,0.36912,0.33707,0.81637,0.58695,0.11824,0.19682,0.83186,0.64579,0.13975,0.22978,0.63694,0.26316,0.066857,0.10663,0.69521,0.29264,0.28539,0.28897
0.89299,0.72111,0.32579,0.44881,0.86649,0.70564,0.12113,0.20676,0.88223,0.75339,0.13991,0.23599,0.78618,0.55331,0.036868,0.06913,0.87377,0.67923,0.19714,0.30559
0.92525,0.78243,0.33527,0.4694,0.88835,0.73944,0.11917,0.20526,0.89378,0.76767,0.12763,0.21886,0.79752,0.58419,0.035021,0.066081,0.90057,0.70697,0.19897,0.31054
0.93266,0.78833,0.335,0.4702,0.89308,0.75162,0.11999,0.20694,0.89247,0.7609,0.12532,0.21519,0.8009,0.58808,0.034826,0.065758,0.9063,0.71967,0.20103,0.31427
0.90809,0.74823,0.3315,0.45945,0.87615,0.72097,0.12138,0.20778,0.88932,0.76756,0.13201,0.22528,0.79019,0.56341,0.036331,0.06826,0.88386,0.68744,0.19784,0.30726
0.91387,0.75884,0.32966,0.45964,0.88188,0.73001,0.11899,0.20463,0.89408,0.77423,0.13002,0.22265,0.80528,0.58613,0.035861,0.067587,0.89339,0.69896,0.19785,0.30841
0.89824,0.72759,0.32723,0.45144,0.87072,0.71193,0.12094,0.20676,0.88503,0.75709,0.13671,0.23159,0.79105,0.55875,0.036981,0.069371,0.87838,0.68236,0.19712,0.30588
0.90131,0.73231,0.3284,0.45345,0.88015,0.73118,0.12038,0.20673,0.89244,0.77137,0.13049,0.22322,0.79811,0.57895,0.038451,0.072113,0.88778,0.68939,0.19878,0.30859
0.90912,0.7441,0.33028,0.4575,0.88695,0.74081,0.12059,0.20742,0.89372,0.77264,0.12966,0.22205,0.80324,0.58516,0.037161,0.069884,0.89693,0.70229,0.19951,0.31074
0.8862,0.70873,0.32416,0.44486,0.86257,0.6968,0.12091,0.20607,0.87834,0.74556,0.13935,0.23482,0.78345,0.54729,0.037814,0.07074,0.87265,0.67337,0.19669,0.30445
0.86007,0.68278,0.32185,0.43748,0.85483,0.68678,0.12178,0.20688,0.8747,0.74376,0.14177,0.23814,0.7699,0.53234,0.038035,0.070997,0.85846,0.6554,0.1972,0.30318
0.91538,0.75884,0.33042,0.46038,0.88254,0.73453,0.1193,0.20526,0.89394,0.7701,0.12911,0.22115,0.80569,0.58652,0.035804,0.067489,0.89155,0.69584,0.19688,0.30692
0.89471,0.72052,0.32674,0.4496,0.8693,0.70898,0.12147,0.2074,0.88362,0.75688,0.14036,0.23681,0.78843,0.55312,0.036961,0.069292,0.8761,0.67982,0.19739,0.30595
0.87324,0.68632,0.32075,0.43718,0.85658,0.68658,0.12151,0.20648,0.8757,0.74132,0.14024,0.23586,0.77597,0.53816,0.038443,0.07176,0.86851,0.664,0.19708,0.30394
0.85042,0.6704,0.32119,0.4343,0.85196,0.68088,0.12145,0.20613,0.87342,0.74132,0.14183,0.2381,0.76222,0.50709,0.03818,0.071014,0.85358,0.64837,0.19689,0.30206
0.92216,0.773,0.33031,0.46284,0.88753,0.74101,0.11941,0.20568,0.89671,0.77931,0.1296,0.22224,0.8089,0.59487,0.035783,0.067506,0.8984,0.70346,0.1976,0.30853
0.93047,0.78302,0.33308,0.46736,0.89282,0.75025,0.11989,0.20675,0.89678,0.77444,0.1275,0.21895,0.81032,0.60225,0.035759,0.06751,0.90536,0.71655,0.19997,0.31268
0.91446,0.75531,0.33024,0.45955,0.88664,0.74022,0.11994,0.20643,0.89722,0.78132,0.13062,0.22382,0.80718,0.5939,0.036485,0.068747,0.89583,0.7015,0.19927,0.31037
0.83971,0.62382,0.31705,0.42043,0.86711,0.70525,0.12321,0.20977,0.87916,0.74873,0.14305,0.2402,0.7327,0.46863,0.038365,0.070924,0.83262,0.60637,0.20045,0.3013
0.90818,0.74823,0.33064,0.45862,0.88035,0.72608,0.1198,0.20566,0.89343,0.77328,0.13057,0.22342,0.80438,0.58924,0.037364,0.070272,0.89349,0.69721,0.19964,0.3104
0.90415,0.73939,0.32614,0.45263,0.8713,0.71212,0.12019,0.20566,0.8867,0.75846,0.13379,0.22745,0.78652,0.56166,0.036195,0.068008,0.87733,0.68177,0.19589,0.30434
0.89986,0.72818,0.32466,0.44909,0.88054,0.72981,0.11972,0.20569,0.89153,0.76471,0.12931,0.22122,0.79508,0.57895,0.038594,0.072364,0.88756,0.69135,0.19692,0.30653
0.92875,0.7783,0.33452,0.46792,0.89316,0.75005,0.12026,0.20729,0.89149,0.75942,0.12566,0.21563,0.81333,0.60789,0.036647,0.069127,0.90555,0.71752,0.20144,0.31456
0.93155,0.78597,0.33526,0.47003,0.89137,0.74612,0.11956,0.20609,0.88569,0.74185,0.123,0.21102,0.78968,0.56594,0.033834,0.06385,0.90626,0.71987,0.20179,0.31521
0.92449,0.77889,0.33149,0.46506,0.88993,0.74455,0.11927,0.2056,0.89494,0.76968,0.12727,0.21842,0.79394,0.5873,0.034908,0.065899,0.89799,0.70229,0.1966,0.3072
0.90795,0.74233,0.32906,0.45599,0.87853,0.72509,0.11921,0.20476,0.89082,0.7664,0.1296,0.22171,0.80135,0.57467,0.037176,0.069834,0.8886,0.69349,0.19754,0.30749
0.92368,0.77712,0.33149,0.46474,0.88849,0.74396,0.11964,0.20612,0.897,0.77857,0.12926,0.22172,0.80929,0.59701,0.03582,0.067586,0.89931,0.706,0.19796,0.30922
0.91165,0.75,0.33091,0.45921,0.88292,0.73158,0.11945,0.20537,0.89388,0.77465,0.13022,0.22295,0.8037,0.57992,0.036448,0.068585,0.89252,0.69467,0.19741,0.30745
0.9245,0.77712,0.33291,0.46614,0.89149,0.75084,0.12033,0.20742,0.8988,0.78227,0.12936,0.22201,0.81445,0.60866,0.036752,0.069319,0.90223,0.7099,0.19939,0.31133
0.92749,0.78184,0.33291,0.46698,0.89111,0.74691,0.1196,0.20618,0.89551,0.77243,0.12765,0.21909,0.80704,0.59953,0.035783,0.067534,0.90225,0.70971,0.19839,0.3101
0.91727,0.76474,0.33239,0.46338,0.88427,0.73472,0.11938,0.20539,0.89384,0.77412,0.12969,0.22217,0.80127,0.5838,0.035555,0.067029,0.8948,0.69682,0.19784,0.30818
0.92624,0.78066,0.3335,0.46735,0.89126,0.74907,0.12012,0.20703,0.89682,0.77666,0.12849,0.2205,0.80904,0.60186,0.035998,0.067933,0.90285,0.70893,0.19836,0.30999
0.88745,0.7046,0.32704,0.44673,0.87138,0.71389,0.12263,0.2093,0.88373,0.75952,0.14103,0.23788,0.78556,0.55273,0.037993,0.071099,0.87923,0.68041,0.19873,0.30762
0.84857,0.66509,0.315,0.42752,0.84752,0.67184,0.12058,0.20447,0.8685,0.73212,0.14066,0.23599,0.76412,0.51117,0.037606,0.070059,0.85445,0.64368,0.19506,0.2994
0.88721,0.70696,0.32309,0.4435,0.86628,0.70269,0.12104,0.20651,0.88189,0.75254,0.13977,0.23575,0.78702,0.55292,0.038132,0.071344,0.87514,0.67572,0.19787,0.30611
