Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.76031,0.41627,0.40182,0.40892,0.91266,0.76341,0.28119,0.411,0.84081,0.6643,0.13882,0.22966,0.65276,0.30433,0.061915,0.1029,0.81324,0.59484,0.23765,0.33962
0.91278,0.74823,0.33786,0.46552,0.93457,0.80602,0.26927,0.40368,0.85866,0.66684,0.1183,0.20094,0.74639,0.45659,0.03086,0.057813,0.88997,0.68744,0.20543,0.31633
0.77918,0.53597,0.36389,0.43348,0.83124,0.67597,0.27653,0.39249,0.78549,0.57385,0.1421,0.2278,0.59879,0.22781,0.067756,0.10445,0.71825,0.46318,0.21794,0.29641
0.73591,0.42335,0.42385,0.4236,0.89506,0.73475,0.28121,0.40675,0.82202,0.62664,0.14657,0.23757,0.61768,0.24548,0.070105,0.10906,0.73114,0.48916,0.2663,0.34486
0.75067,0.48703,0.38419,0.42954,0.77428,0.62895,0.28186,0.38927,0.75342,0.53565,0.14739,0.23117,0.58081,0.21363,0.072141,0.10786,0.67859,0.39461,0.22462,0.28628
0.8493,0.65861,0.3114,0.42287,0.92296,0.79868,0.28403,0.41904,0.8706,0.72038,0.14404,0.24008,0.7608,0.5236,0.035954,0.067288,0.84673,0.63001,0.19855,0.30194
0.82962,0.59493,0.35491,0.44459,0.92212,0.78839,0.27791,0.41095,0.84859,0.6715,0.13839,0.22948,0.69013,0.38318,0.046081,0.082268,0.8435,0.60656,0.21568,0.31822
0.93224,0.78479,0.33459,0.46916,0.94503,0.83174,0.27462,0.41291,0.89565,0.76481,0.12676,0.21748,0.80548,0.58924,0.035206,0.066442,0.90826,0.72397,0.20334,0.3175
0.92124,0.76415,0.33103,0.46195,0.94457,0.8288,0.27472,0.41266,0.89908,0.77867,0.12958,0.22219,0.80392,0.59215,0.036236,0.068292,0.90201,0.71655,0.20308,0.31647
0.83894,0.62323,0.36473,0.46017,0.91958,0.77957,0.27782,0.40965,0.83874,0.64674,0.13662,0.22559,0.70494,0.43601,0.041133,0.075174,0.84494,0.622,0.21336,0.31773
0.9275,0.77535,0.33274,0.46565,0.94495,0.83101,0.27491,0.41315,0.89719,0.77232,0.12831,0.22006,0.80526,0.59235,0.035751,0.067432,0.90437,0.71752,0.20228,0.31559
0.91474,0.75531,0.33221,0.46146,0.94427,0.82439,0.27386,0.41114,0.89646,0.7756,0.1304,0.22326,0.80036,0.5838,0.036394,0.068517,0.89823,0.70717,0.20155,0.31369
0.90979,0.74764,0.3322,0.46,0.94252,0.82366,0.27442,0.41168,0.89556,0.76957,0.13066,0.22339,0.79584,0.57545,0.036292,0.068277,0.89524,0.70229,0.20242,0.31426
