Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.92263,0.76061,0.33188,0.46212,0.94019,0.81778,0.2712,0.40732,0.88371,0.73649,0.11958,0.20575,0.8743,0.70038,0.11978,0.20457,0.90242,0.71557,0.20345,0.31683
0.91468,0.76002,0.32542,0.45572,0.94515,0.83027,0.27454,0.41263,0.88755,0.74671,0.12096,0.20819,0.89844,0.77983,0.13026,0.22324,0.89908,0.70893,0.19898,0.31074
0.92061,0.77123,0.32848,0.46073,0.94723,0.83615,0.27568,0.41465,0.89209,0.75535,0.12139,0.20916,0.90108,0.78597,0.13031,0.22355,0.90304,0.71596,0.19985,0.31247
0.90263,0.74175,0.32803,0.45489,0.94326,0.82366,0.27428,0.41153,0.8805,0.73079,0.12171,0.20867,0.89444,0.77317,0.13175,0.22514,0.89273,0.69916,0.19938,0.31027
0.89693,0.73172,0.32944,0.45433,0.94237,0.81999,0.27373,0.41045,0.87593,0.72057,0.12315,0.21035,0.88847,0.76217,0.14159,0.23881,0.88796,0.69389,0.20097,0.31167
0.92351,0.77653,0.32827,0.46146,0.94727,0.83248,0.27433,0.41268,0.89439,0.7585,0.12116,0.20894,0.90252,0.78629,0.12934,0.22215,0.90359,0.7144,0.19883,0.31108
0.91823,0.76651,0.32961,0.46099,0.94515,0.82733,0.27363,0.41125,0.89097,0.75221,0.1215,0.2092,0.89655,0.77761,0.12979,0.22245,0.90329,0.71459,0.20011,0.31266
0.92948,0.78361,0.332,0.4664,0.94519,0.82513,0.27204,0.40918,0.89558,0.75948,0.12097,0.2087,0.89512,0.76481,0.1258,0.21606,0.90447,0.71557,0.19935,0.31182
0.92157,0.77123,0.3279,0.46016,0.94641,0.83027,0.27394,0.41196,0.89076,0.75241,0.12086,0.20827,0.89982,0.78121,0.12963,0.22237,0.89948,0.70639,0.19742,0.3086
0.92991,0.79127,0.33525,0.47096,0.94704,0.83395,0.27455,0.4131,0.89618,0.76066,0.12136,0.20932,0.89963,0.77962,0.12836,0.22043,0.90816,0.72241,0.20098,0.31447
0.91298,0.75531,0.32813,0.4575,0.94524,0.82586,0.27355,0.41097,0.88614,0.74239,0.12071,0.20766,0.8976,0.77931,0.13056,0.22365,0.8964,0.70561,0.19883,0.31024
0.90194,0.74116,0.32923,0.45593,0.94399,0.82366,0.27408,0.4113,0.87965,0.72942,0.12276,0.21015,0.89206,0.76841,0.1338,0.22792,0.89139,0.69623,0.19936,0.30997
0.87419,0.6987,0.32573,0.44432,0.93421,0.79794,0.2834,0.41826,0.85174,0.68245,0.12294,0.20835,0.87012,0.73275,0.14224,0.23824,0.84389,0.63118,0.19419,0.29701
0.76741,0.53774,0.29448,0.38055,0.85557,0.66128,0.28681,0.40009,0.78255,0.53174,0.12087,0.19697,0.81375,0.60686,0.13754,0.22426,0.80474,0.5335,0.18976,0.27994
0.91959,0.77064,0.33005,0.46216,0.94508,0.82513,0.27317,0.41045,0.88701,0.7418,0.12003,0.20662,0.89648,0.77624,0.12965,0.22219,0.89479,0.70053,0.19728,0.30786
0.92374,0.77653,0.33074,0.4639,0.94676,0.83395,0.27508,0.41371,0.89246,0.75241,0.12086,0.20826,0.89921,0.78216,0.12974,0.22257,0.90297,0.71244,0.19909,0.31122
0.92567,0.78125,0.33051,0.4645,0.94761,0.83542,0.27497,0.41376,0.89538,0.75771,0.12092,0.20856,0.90144,0.78618,0.12929,0.22206,0.90575,0.71791,0.19957,0.31231
0.92369,0.773,0.32816,0.46073,0.94707,0.83101,0.27378,0.41187,0.89337,0.75732,0.12111,0.20883,0.90123,0.78523,0.12955,0.22241,0.90266,0.71303,0.19861,0.31068
0.92742,0.78597,0.33342,0.46821,0.94555,0.8266,0.27266,0.41006,0.89349,0.7526,0.1202,0.2073,0.89744,0.77328,0.12759,0.21903,0.90169,0.71029,0.19807,0.30976
0.92385,0.7783,0.3305,0.46397,0.94771,0.83321,0.27451,0.41296,0.89349,0.75535,0.12095,0.20851,0.9006,0.78491,0.12968,0.22258,0.90277,0.71147,0.19833,0.3102
0.90782,0.74941,0.33022,0.45843,0.94359,0.81852,0.27184,0.40813,0.8816,0.73197,0.12127,0.20807,0.89316,0.77296,0.13113,0.22423,0.89178,0.69818,0.19896,0.30968
0.92451,0.77889,0.32976,0.46335,0.94425,0.81484,0.26957,0.40511,0.89062,0.74789,0.11937,0.20587,0.89514,0.76957,0.12678,0.2177,0.8953,0.7015,0.19564,0.30596
0.85919,0.62677,0.36769,0.46348,0.91678,0.77443,0.26792,0.39811,0.83854,0.59383,0.11494,0.19259,0.82255,0.57036,0.11674,0.19381,0.84148,0.58547,0.20242,0.30083
0.92826,0.7842,0.33126,0.46577,0.94752,0.83027,0.27314,0.41106,0.89449,0.75928,0.1209,0.20859,0.90107,0.78333,0.12864,0.22098,0.90428,0.71537,0.19872,0.31104
0.91748,0.76592,0.32499,0.45635,0.94525,0.82733,0.27284,0.41035,0.89071,0.75182,0.12022,0.20729,0.89759,0.77317,0.12763,0.21909,0.90286,0.71342,0.19858,0.31068
0.90611,0.74469,0.32994,0.45728,0.94327,0.81925,0.27268,0.40917,0.87919,0.72706,0.12259,0.20981,0.89094,0.76693,0.13844,0.23454,0.88845,0.6931,0.19924,0.3095
0.92292,0.77182,0.32856,0.46092,0.94709,0.83395,0.27488,0.41348,0.8927,0.75496,0.12108,0.2087,0.90048,0.78481,0.13001,0.22307,0.90273,0.71186,0.19854,0.31048
0.92905,0.78184,0.33117,0.46526,0.94605,0.83101,0.27365,0.41172,0.89513,0.75693,0.12072,0.20823,0.89411,0.76206,0.12551,0.21552,0.90373,0.71283,0.19899,0.31112
0.92536,0.78007,0.3305,0.46429,0.94619,0.82807,0.27288,0.41049,0.89213,0.75339,0.12041,0.20763,0.89826,0.77687,0.12831,0.22024,0.89947,0.70834,0.19747,0.30885
0.91422,0.75825,0.3264,0.45635,0.94535,0.83027,0.27461,0.41271,0.88727,0.74455,0.12082,0.20791,0.8981,0.77931,0.13032,0.22329,0.89873,0.70971,0.1994,0.31132
0.9275,0.78479,0.333,0.46759,0.94678,0.83027,0.27334,0.41128,0.8942,0.75732,0.12102,0.20869,0.89933,0.77931,0.12862,0.2208,0.90411,0.7144,0.19912,0.31143
