Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.92377,0.76238,0.32976,0.46039,0.94177,0.81778,0.27054,0.40658,0.88495,0.74239,0.11991,0.20647,0.76741,0.52068,0.032029,0.060346,0.90578,0.72456,0.20402,0.31838
0.72945,0.49292,0.2783,0.35574,0.8656,0.70242,0.29022,0.41074,0.77225,0.49617,0.1163,0.18843,0.68273,0.38143,0.034877,0.06391,0.75007,0.4792,0.18523,0.26718
0.8399,0.64623,0.31243,0.42121,0.92771,0.80309,0.28824,0.42422,0.83465,0.63175,0.12079,0.20281,0.76227,0.51486,0.037939,0.07067,0.83959,0.62239,0.19929,0.3019
0.84795,0.66509,0.32867,0.43994,0.93242,0.80529,0.29079,0.42729,0.83918,0.6516,0.12463,0.20924,0.76187,0.52088,0.038061,0.070938,0.83888,0.64192,0.20589,0.31178
0.8029,0.5513,0.35243,0.42998,0.92757,0.80162,0.29281,0.42894,0.82164,0.62291,0.12504,0.20828,0.74433,0.45543,0.042053,0.076996,0.80687,0.55421,0.21887,0.31381
0.86192,0.67571,0.32715,0.44085,0.93456,0.8097,0.29107,0.42821,0.84908,0.66555,0.12464,0.20996,0.77403,0.53486,0.038274,0.071437,0.85835,0.6511,0.20525,0.31211
0.93117,0.78774,0.33176,0.46689,0.9475,0.83248,0.2738,0.41207,0.89594,0.76263,0.12114,0.20907,0.80866,0.5972,0.03502,0.06616,0.90731,0.72202,0.20038,0.3137
0.92869,0.78479,0.33151,0.46612,0.94744,0.83468,0.27493,0.41362,0.8964,0.76321,0.12142,0.2095,0.81601,0.60983,0.035832,0.067686,0.90786,0.72241,0.20081,0.31427
0.88459,0.70637,0.32948,0.44936,0.93887,0.81264,0.27852,0.41485,0.86391,0.69837,0.12366,0.21012,0.78581,0.55758,0.037924,0.071018,0.87184,0.67259,0.20311,0.31201
0.93288,0.79068,0.334,0.46962,0.94738,0.83248,0.27387,0.41215,0.89638,0.76105,0.12093,0.20869,0.81264,0.60342,0.035452,0.06697,0.90778,0.72143,0.20042,0.3137
0.92725,0.78243,0.33225,0.46643,0.94649,0.82954,0.2735,0.41137,0.89228,0.75084,0.12022,0.20725,0.80674,0.59662,0.035355,0.066754,0.90524,0.71733,0.20036,0.31323
0.92972,0.78361,0.32945,0.46387,0.9483,0.83688,0.27499,0.41396,0.89683,0.76066,0.12055,0.20812,0.80758,0.5972,0.034964,0.066061,0.90624,0.71909,0.19922,0.312
0.89399,0.72583,0.33118,0.45483,0.94078,0.81484,0.27403,0.41013,0.87198,0.71291,0.12305,0.20988,0.79417,0.57157,0.037915,0.071113,0.88219,0.68705,0.20284,0.31321
0.92896,0.78479,0.33225,0.46685,0.94699,0.83395,0.27482,0.4134,0.89393,0.75732,0.12084,0.20842,0.80772,0.59584,0.035136,0.066358,0.90716,0.72163,0.20089,0.31429
0.91971,0.76356,0.32489,0.45583,0.94247,0.8266,0.27372,0.41126,0.89104,0.74966,0.12024,0.20724,0.81056,0.59953,0.035592,0.067196,0.90295,0.71733,0.20051,0.31342
0.911,0.75236,0.33255,0.46123,0.94537,0.82586,0.27401,0.4115,0.88685,0.74199,0.1211,0.20822,0.81003,0.60478,0.037048,0.069819,0.89924,0.7101,0.20183,0.31432
0.79336,0.52005,0.36029,0.42568,0.92551,0.79941,0.29469,0.43064,0.81499,0.61191,0.12603,0.20901,0.73716,0.44669,0.044606,0.081112,0.79279,0.48037,0.22584,0.30724
0.9192,0.7671,0.32845,0.45996,0.94626,0.83027,0.27434,0.41241,0.8901,0.75142,0.12114,0.20864,0.81285,0.60284,0.036173,0.068251,0.90104,0.71401,0.20042,0.31298
0.92478,0.77771,0.33066,0.46403,0.94686,0.83101,0.27412,0.41225,0.8923,0.753,0.12061,0.20792,0.81201,0.60245,0.035766,0.067524,0.90404,0.71733,0.20036,0.31323
0.92932,0.78538,0.33209,0.4668,0.94793,0.83688,0.27539,0.41441,0.89634,0.7638,0.1216,0.2098,0.81797,0.61391,0.036197,0.068363,0.90765,0.7228,0.20107,0.31461
0.91477,0.76179,0.33162,0.46209,0.94543,0.8288,0.27465,0.41258,0.8892,0.74632,0.12124,0.2086,0.81083,0.60206,0.036378,0.06861,0.90303,0.71635,0.20284,0.31616
0.9213,0.77064,0.32955,0.46167,0.94653,0.83101,0.27445,0.41262,0.89166,0.7526,0.12098,0.20845,0.81348,0.60517,0.036146,0.068217,0.90347,0.71713,0.20097,0.31396
0.90718,0.74764,0.33133,0.45917,0.94383,0.81925,0.27282,0.40932,0.88069,0.73079,0.12227,0.20949,0.80291,0.58633,0.03783,0.071075,0.8925,0.69994,0.20189,0.31339
0.82401,0.62559,0.32269,0.42576,0.92874,0.80602,0.29332,0.43011,0.82829,0.62704,0.12456,0.20784,0.75475,0.51253,0.038809,0.072154,0.82508,0.62708,0.20723,0.31151
0.92717,0.77948,0.3305,0.46419,0.94725,0.83174,0.27403,0.41224,0.89438,0.75948,0.12123,0.20908,0.81387,0.60614,0.035817,0.067638,0.90547,0.71928,0.20049,0.31358
0.9292,0.78479,0.33142,0.46604,0.94747,0.83542,0.2751,0.41391,0.89639,0.76439,0.12159,0.2098,0.81535,0.60963,0.035814,0.067653,0.90804,0.72241,0.20081,0.31427
0.92999,0.78479,0.33019,0.46482,0.94803,0.83542,0.27457,0.4133,0.8966,0.76027,0.12057,0.20813,0.81071,0.59973,0.035119,0.066352,0.90677,0.71948,0.19934,0.31218
0.92724,0.78007,0.3315,0.46527,0.94677,0.83101,0.27392,0.41202,0.89363,0.75673,0.12098,0.20861,0.80967,0.59837,0.035361,0.066776,0.9066,0.72182,0.20133,0.31484
0.91027,0.75118,0.32692,0.45557,0.94482,0.83027,0.27514,0.41331,0.88862,0.74867,0.12178,0.20948,0.81223,0.60555,0.036593,0.069015,0.90166,0.71498,0.20209,0.31511
0.90247,0.7388,0.33113,0.4573,0.94326,0.81925,0.27335,0.40993,0.87779,0.72588,0.12309,0.21049,0.8001,0.58225,0.037963,0.071278,0.88896,0.69232,0.20144,0.31208
0.92466,0.77005,0.32577,0.45784,0.94361,0.82145,0.27136,0.40795,0.89123,0.74828,0.11915,0.20556,0.78279,0.55215,0.03262,0.061601,0.89901,0.70287,0.19571,0.30617
0.88386,0.70814,0.33095,0.45108,0.93885,0.81411,0.28439,0.42153,0.86161,0.69188,0.12347,0.20955,0.78326,0.55079,0.037818,0.070777,0.86952,0.67103,0.20344,0.31222
0.92518,0.77889,0.33083,0.4644,0.94602,0.8266,0.27326,0.41073,0.8907,0.74887,0.12009,0.20698,0.80973,0.59604,0.0354,0.066831,0.9009,0.70932,0.19845,0.31013
0.92869,0.78479,0.33151,0.46612,0.94744,0.83468,0.27493,0.41362,0.8964,0.76321,0.12142,0.2095,0.81601,0.60983,0.035832,0.067686,0.90786,0.72241,0.20081,0.31427
0.84586,0.66392,0.32714,0.4383,0.93207,0.80088,0.28974,0.42553,0.83859,0.6516,0.12466,0.20928,0.76026,0.51796,0.038048,0.070888,0.83042,0.63352,0.20503,0.3098
0.93294,0.79009,0.33408,0.4696,0.9463,0.83174,0.27389,0.41209,0.89534,0.75928,0.12099,0.20872,0.80456,0.58827,0.034693,0.065522,0.91012,0.72729,0.20263,0.31696
0.92475,0.77771,0.33216,0.4655,0.94569,0.8266,0.27332,0.41081,0.89073,0.74691,0.12014,0.20698,0.80779,0.59681,0.035602,0.067196,0.90307,0.71479,0.20076,0.31347
0.91369,0.75472,0.33092,0.4601,0.94448,0.82219,0.27286,0.40974,0.88566,0.74003,0.12047,0.20721,0.80736,0.59584,0.036132,0.068132,0.89718,0.70932,0.20129,0.31358
0.92603,0.78066,0.33183,0.46571,0.94723,0.83395,0.27495,0.41355,0.89385,0.7583,0.12131,0.20917,0.81286,0.60517,0.035849,0.067688,0.90625,0.71987,0.20074,0.31394
0.92891,0.7842,0.33109,0.4656,0.94757,0.83468,0.27473,0.41339,0.89602,0.7638,0.12148,0.20962,0.81451,0.6073,0.035694,0.067426,0.90711,0.72182,0.20059,0.31393
0.92909,0.78479,0.33233,0.46694,0.94727,0.83321,0.27444,0.41289,0.89491,0.75968,0.12112,0.20892,0.81297,0.60614,0.035743,0.067504,0.90673,0.72026,0.20063,0.31384
0.90295,0.7388,0.33166,0.4578,0.94301,0.81852,0.27324,0.40971,0.87782,0.72725,0.12342,0.21103,0.79949,0.5838,0.037934,0.07124,0.88987,0.69545,0.20253,0.3137
0.93222,0.78892,0.33259,0.46791,0.94738,0.83395,0.27422,0.41273,0.89588,0.76145,0.12101,0.20883,0.80589,0.59351,0.034857,0.065847,0.90878,0.72534,0.20138,0.31524
0.90373,0.73939,0.33175,0.458,0.94313,0.81999,0.27373,0.41045,0.87812,0.72667,0.12315,0.2106,0.80028,0.58186,0.037842,0.071063,0.88979,0.69389,0.20185,0.31273
0.91938,0.76887,0.32996,0.46176,0.94587,0.8266,0.27352,0.41103,0.88844,0.74651,0.12073,0.20785,0.80888,0.59934,0.036027,0.067968,0.90059,0.71244,0.20099,0.31353
0.92604,0.76887,0.32988,0.46167,0.94363,0.82366,0.27196,0.4089,0.88902,0.74749,0.12017,0.20705,0.77285,0.53583,0.032402,0.061108,0.90579,0.71967,0.20171,0.3151
0.88168,0.70637,0.32152,0.4419,0.93867,0.81852,0.27739,0.41436,0.86368,0.69758,0.12234,0.20817,0.79168,0.55739,0.037453,0.07019,0.87504,0.67318,0.19979,0.30813
0.91631,0.76415,0.3335,0.46435,0.94548,0.82366,0.27275,0.4098,0.88665,0.74219,0.12061,0.2075,0.80674,0.59371,0.035918,0.067738,0.89864,0.70873,0.20071,0.31283
0.92489,0.77771,0.33207,0.46542,0.94681,0.83174,0.27449,0.41276,0.89294,0.75378,0.12088,0.20834,0.81316,0.60575,0.036084,0.06811,0.90555,0.72026,0.2017,0.31514
0.92957,0.78715,0.33242,0.46744,0.94765,0.83395,0.27449,0.41303,0.89539,0.76105,0.12116,0.20905,0.81009,0.59992,0.035267,0.066617,0.90758,0.72182,0.20058,0.31392
0.92979,0.78538,0.3306,0.46533,0.9483,0.83762,0.27536,0.41447,0.89674,0.76145,0.12083,0.20856,0.81031,0.60342,0.035372,0.066826,0.90693,0.72045,0.19962,0.31262
0.91988,0.77005,0.3298,0.46181,0.94569,0.82586,0.27328,0.41067,0.88865,0.74612,0.12051,0.2075,0.80774,0.5941,0.035588,0.067153,0.90092,0.71303,0.20058,0.31309
0.91873,0.76474,0.32827,0.45936,0.94598,0.8266,0.27326,0.41073,0.8887,0.74573,0.12045,0.2074,0.80966,0.59798,0.035915,0.06776,0.90014,0.71166,0.20019,0.31248
0.92136,0.77241,0.33031,0.46273,0.94642,0.8266,0.27306,0.41051,0.88969,0.74789,0.12054,0.20762,0.80936,0.59546,0.035652,0.067276,0.90142,0.71166,0.19975,0.31194
0.92935,0.78243,0.33084,0.46504,0.94687,0.83101,0.27372,0.4118,0.89462,0.7587,0.12092,0.2086,0.80853,0.59759,0.035175,0.066439,0.90737,0.72221,0.20101,0.31449
0.9294,0.7842,0.33192,0.46642,0.94685,0.83174,0.27403,0.41224,0.89419,0.75771,0.12083,0.20843,0.80802,0.59623,0.035134,0.066358,0.90738,0.72202,0.20103,0.3145
0.92724,0.78597,0.333,0.4678,0.94262,0.81117,0.2696,0.40469,0.88906,0.74376,0.11902,0.2052,0.79842,0.57856,0.034141,0.064477,0.89713,0.70307,0.19655,0.30721
0.83605,0.64741,0.32845,0.4358,0.93059,0.80382,0.29173,0.4281,0.83563,0.63765,0.12432,0.20807,0.75945,0.51641,0.038377,0.071445,0.83566,0.64095,0.20795,0.31402
0.92829,0.78361,0.33093,0.46534,0.94746,0.83174,0.27389,0.41209,0.89526,0.76105,0.1211,0.20894,0.81324,0.60284,0.035461,0.066982,0.90573,0.7187,0.19979,0.31267
0.92178,0.77417,0.33015,0.46289,0.94663,0.83174,0.27456,0.41284,0.89285,0.75457,0.12101,0.20857,0.81496,0.60789,0.036173,0.068282,0.90415,0.71674,0.20038,0.3132
0.9236,0.77358,0.32998,0.46262,0.94652,0.82807,0.27334,0.41101,0.89188,0.7528,0.12078,0.20816,0.81153,0.59992,0.035704,0.067396,0.90334,0.71459,0.19986,0.31236
0.88287,0.70637,0.32948,0.44936,0.93888,0.81264,0.27852,0.41485,0.86313,0.69837,0.12366,0.21012,0.78508,0.55758,0.037924,0.071017,0.87037,0.67259,0.20311,0.31201
0.8399,0.64623,0.31243,0.42121,0.92771,0.80309,0.28824,0.42422,0.83465,0.63175,0.12079,0.20281,0.76227,0.51486,0.037939,0.07067,0.83959,0.62239,0.19929,0.3019
0.918,0.76474,0.32919,0.46026,0.94569,0.8266,0.27332,0.41081,0.88796,0.74356,0.12037,0.20719,0.80876,0.5974,0.035964,0.067843,0.89946,0.7101,0.20032,0.31249
0.91697,0.76415,0.3286,0.45957,0.94512,0.8266,0.27406,0.41164,0.88944,0.74691,0.12066,0.20776,0.81017,0.59837,0.03591,0.067754,0.90011,0.71362,0.2011,0.31378
0.90417,0.74116,0.33123,0.45784,0.94384,0.81925,0.27302,0.40955,0.8803,0.72942,0.12255,0.20984,0.80282,0.58536,0.038141,0.071615,0.89171,0.69799,0.20214,0.31349
0.92729,0.78066,0.331,0.46489,0.94698,0.8288,0.27306,0.41078,0.8935,0.75673,0.1208,0.20835,0.80811,0.59643,0.035203,0.066482,0.90511,0.71537,0.19919,0.31162
0.92685,0.78066,0.33141,0.4653,0.94696,0.82954,0.27343,0.41129,0.89281,0.7526,0.1204,0.20759,0.80894,0.59643,0.035318,0.066686,0.9044,0.71459,0.19935,0.31173
0.90941,0.75118,0.33151,0.46001,0.94363,0.82072,0.27337,0.41013,0.88237,0.73295,0.12025,0.2066,0.80489,0.5906,0.036688,0.069084,0.89272,0.70229,0.20061,0.31208
0.89742,0.73113,0.33164,0.4563,0.94172,0.81925,0.27463,0.41136,0.87328,0.71566,0.12325,0.21028,0.79515,0.5704,0.0377,0.070725,0.88388,0.68705,0.2025,0.3128
