Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.9232,0.7612,0.33282,0.46314,0.94054,0.81337,0.27026,0.40572,0.8817,0.7361,0.11959,0.20575,0.87345,0.7025,0.12007,0.20509,0.76133,0.51117,0.031913,0.060076
0.84696,0.64858,0.32239,0.4307,0.88513,0.73475,0.27755,0.4029,0.83451,0.6518,0.12278,0.20663,0.85996,0.69446,0.13153,0.22117,0.73365,0.49369,0.039417,0.073005
0.89231,0.72465,0.33109,0.45451,0.93389,0.81484,0.27843,0.41504,0.87473,0.71684,0.12341,0.21057,0.8877,0.75508,0.13134,0.22376,0.78924,0.56885,0.038214,0.071617
0.89037,0.71993,0.33116,0.45365,0.93095,0.80456,0.27743,0.41258,0.87032,0.70564,0.12359,0.21034,0.88361,0.74672,0.13127,0.22329,0.7844,0.55817,0.037951,0.071069
0.88821,0.71875,0.33206,0.45426,0.93295,0.81117,0.27774,0.41379,0.87184,0.70937,0.12407,0.2112,0.88456,0.74958,0.13184,0.22424,0.78396,0.55584,0.03823,0.07154
0.888,0.71816,0.33026,0.45245,0.93178,0.80823,0.27722,0.41284,0.87186,0.708,0.12333,0.21007,0.88603,0.75307,0.13179,0.22432,0.78611,0.56205,0.038282,0.071682
0.86585,0.6763,0.32337,0.43754,0.89972,0.76561,0.27824,0.40815,0.84239,0.65828,0.12268,0.20682,0.86786,0.71308,0.13127,0.22173,0.75949,0.53816,0.039223,0.073117
0.91228,0.75354,0.33057,0.45955,0.94336,0.8266,0.27567,0.41345,0.88866,0.74671,0.12248,0.21044,0.896,0.77539,0.13105,0.2242,0.80306,0.58574,0.036153,0.068102
0.91573,0.75354,0.32913,0.45815,0.94365,0.82513,0.27477,0.41226,0.88997,0.75123,0.12275,0.21102,0.89626,0.77465,0.13049,0.22336,0.80394,0.58672,0.035925,0.067704
0.91413,0.75943,0.32782,0.45796,0.9444,0.82733,0.27497,0.41276,0.88959,0.75005,0.12221,0.21018,0.89894,0.78248,0.1312,0.22473,0.81004,0.59992,0.036328,0.068508
0.888,0.71757,0.33026,0.45233,0.93187,0.8097,0.27786,0.41374,0.87182,0.7078,0.1235,0.21031,0.88581,0.7518,0.13193,0.22447,0.78595,0.56205,0.038308,0.071727
0.90026,0.73467,0.33042,0.45583,0.9381,0.81999,0.27727,0.41441,0.87989,0.72686,0.12232,0.2094,0.89146,0.76502,0.13121,0.224,0.7944,0.57254,0.03739,0.070195
0.92847,0.78715,0.33509,0.47007,0.94707,0.83468,0.27533,0.41407,0.89632,0.76086,0.12173,0.20989,0.90129,0.78661,0.12983,0.22287,0.81315,0.60225,0.035804,0.06759
0.92717,0.77948,0.33401,0.46763,0.94501,0.83101,0.27532,0.4136,0.89278,0.7528,0.12135,0.209,0.89637,0.77158,0.12846,0.22025,0.80349,0.58536,0.03508,0.066193
0.92663,0.77889,0.33409,0.46761,0.94518,0.82954,0.27463,0.41265,0.89364,0.75614,0.12195,0.21003,0.89616,0.77222,0.12865,0.22055,0.80316,0.58652,0.035183,0.066385
0.91797,0.76769,0.33138,0.46293,0.94459,0.82733,0.27544,0.41329,0.89087,0.75201,0.12239,0.21051,0.89853,0.78237,0.13114,0.22463,0.80855,0.59662,0.0362,0.068258
0.92881,0.78066,0.33333,0.46718,0.94509,0.82954,0.27443,0.41242,0.89486,0.75811,0.12163,0.20962,0.89632,0.77201,0.128,0.21959,0.79963,0.5838,0.03475,0.065596
0.92469,0.77653,0.33384,0.46694,0.94598,0.8288,0.27399,0.41183,0.89458,0.75653,0.12185,0.2099,0.89857,0.78026,0.12987,0.22267,0.80927,0.59507,0.035808,0.067551
0.90848,0.75059,0.32433,0.45294,0.94313,0.8266,0.27533,0.41307,0.88634,0.74317,0.12172,0.20918,0.8977,0.77751,0.1308,0.22392,0.80815,0.5972,0.036182,0.068231
0.92212,0.77182,0.33274,0.46501,0.94544,0.8288,0.27485,0.41281,0.89313,0.75575,0.12225,0.21045,0.89864,0.78142,0.13039,0.22349,0.80871,0.59546,0.035941,0.06779
0.92982,0.7895,0.33593,0.47131,0.94654,0.83395,0.27522,0.41386,0.89592,0.75968,0.12158,0.20961,0.89846,0.77857,0.12869,0.22087,0.80655,0.5939,0.035254,0.066557
0.91868,0.76887,0.33096,0.46274,0.94491,0.82954,0.27503,0.4131,0.89149,0.753,0.12225,0.21035,0.89867,0.78396,0.13112,0.22467,0.80824,0.59351,0.035736,0.067413
0.90399,0.74175,0.33307,0.45971,0.94086,0.82439,0.2767,0.41433,0.8841,0.73472,0.12238,0.20981,0.89324,0.76883,0.13134,0.22435,0.79793,0.57467,0.036746,0.069075
0.92252,0.77182,0.33257,0.46484,0.94513,0.8288,0.27492,0.41288,0.89277,0.75457,0.12209,0.21017,0.89753,0.77878,0.13009,0.22295,0.80597,0.58963,0.035575,0.067101
0.92292,0.77417,0.33232,0.46503,0.94479,0.82733,0.27463,0.41238,0.89218,0.75339,0.12193,0.2099,0.89811,0.7792,0.13011,0.22298,0.80612,0.59021,0.035491,0.066955
0.91879,0.7671,0.33037,0.46184,0.94565,0.83101,0.27532,0.4136,0.89233,0.75477,0.12211,0.21021,0.89999,0.78682,0.13132,0.22508,0.81037,0.59817,0.036059,0.068017
0.92934,0.78243,0.33167,0.46586,0.94376,0.82586,0.27321,0.41059,0.89631,0.75889,0.1212,0.20902,0.8941,0.76301,0.12579,0.21597,0.79604,0.58128,0.034404,0.064963
0.88283,0.69517,0.33193,0.44931,0.94104,0.81852,0.27561,0.41236,0.88025,0.72627,0.12315,0.2106,0.88772,0.75709,0.13062,0.2228,0.77908,0.55273,0.040356,0.075219
0.91442,0.75413,0.32719,0.45638,0.93928,0.81484,0.27088,0.4066,0.8833,0.73944,0.12021,0.2068,0.87841,0.72186,0.12311,0.21035,0.74531,0.49893,0.031226,0.058773
0.92324,0.77476,0.33308,0.46587,0.94449,0.82733,0.27423,0.41193,0.89237,0.75201,0.12172,0.20952,0.89506,0.77127,0.12908,0.22115,0.79831,0.58264,0.035009,0.066049
0.87613,0.6875,0.33022,0.44615,0.92231,0.79794,0.27903,0.41348,0.86115,0.69071,0.12627,0.21351,0.87637,0.73667,0.13474,0.22781,0.78271,0.55797,0.038986,0.072879
0.92406,0.77535,0.33249,0.4654,0.9451,0.82954,0.27516,0.41325,0.89308,0.75771,0.12231,0.21062,0.89853,0.78005,0.12988,0.22268,0.80726,0.59177,0.035479,0.066944
0.92328,0.77417,0.33333,0.46602,0.94546,0.8288,0.27459,0.41251,0.89383,0.75732,0.12231,0.21061,0.89865,0.78153,0.13027,0.22332,0.80854,0.59371,0.035723,0.06739
0.92091,0.7671,0.3313,0.46274,0.94369,0.82439,0.27426,0.41159,0.89064,0.74926,0.12177,0.2095,0.89543,0.77158,0.1295,0.22178,0.79895,0.58031,0.035042,0.066093
0.92849,0.7842,0.33484,0.4693,0.94571,0.83027,0.27441,0.41248,0.89465,0.75575,0.12133,0.2091,0.89738,0.77476,0.12848,0.22041,0.80186,0.58594,0.034883,0.065845
0.9216,0.773,0.33181,0.46432,0.94577,0.83101,0.27512,0.41338,0.89359,0.75791,0.12227,0.21057,0.90025,0.78703,0.13096,0.22456,0.81129,0.5974,0.035826,0.067598
0.93119,0.78066,0.33451,0.46834,0.94467,0.8288,0.27385,0.41168,0.89349,0.75319,0.12092,0.20839,0.89212,0.75709,0.12581,0.21576,0.79428,0.57332,0.034301,0.06473
0.90481,0.74528,0.32661,0.45419,0.94198,0.82439,0.27547,0.41296,0.88409,0.73728,0.12157,0.20873,0.89625,0.77592,0.13109,0.22428,0.80629,0.59274,0.036401,0.06859
0.92065,0.76946,0.33215,0.464,0.94478,0.82513,0.27424,0.41166,0.89227,0.75634,0.12268,0.21111,0.89841,0.78026,0.13058,0.22372,0.80852,0.5972,0.036138,0.068152
0.90029,0.73231,0.32875,0.45378,0.9322,0.80823,0.27562,0.41106,0.87689,0.72293,0.12233,0.20925,0.88937,0.75868,0.13086,0.22322,0.79629,0.58303,0.037048,0.06967
0.92491,0.7783,0.33367,0.46709,0.94528,0.8288,0.27425,0.41213,0.89321,0.75516,0.12178,0.20974,0.89797,0.77878,0.12956,0.22217,0.80411,0.58652,0.035121,0.066273
0.9006,0.73998,0.33387,0.46013,0.93757,0.81925,0.27716,0.41419,0.8799,0.72431,0.12251,0.20957,0.88963,0.76026,0.13125,0.22386,0.79347,0.5706,0.036848,0.069226
0.90715,0.74764,0.3285,0.45644,0.94239,0.82513,0.27572,0.41332,0.88514,0.74239,0.12237,0.2101,0.89633,0.77592,0.13119,0.22443,0.80399,0.58633,0.036314,0.068392
